"filename", "language", "TOML", "Rust", "comment", "blank", "total"
"/Users/davidgao/Desktop/Workspace/anon-lang/crates/anon_parser/Cargo.toml", "TOML", 7, 0, 0, 2, 9
"/Users/davidgao/Desktop/Workspace/anon-lang/crates/anon_parser/src/intern.rs", "Rust", 0, 36, 2, 8, 46
"/Users/davidgao/Desktop/Workspace/anon-lang/crates/anon_parser/src/lib.rs", "Rust", 0, 10, 0, 0, 10
"/Users/davidgao/Desktop/Workspace/anon-lang/crates/anon_parser/src/literal.rs", "Rust", 0, 9, 0, 3, 12
"/Users/davidgao/Desktop/Workspace/anon-lang/crates/anon_parser/src/meta.rs", "Rust", 0, 8, 1, 4, 13
"/Users/davidgao/Desktop/Workspace/anon-lang/crates/anon_parser/src/parse.rs", "Rust", 0, 125, 41, 25, 191
"/Users/davidgao/Desktop/Workspace/anon-lang/crates/anon_parser/src/pattern.rs", "Rust", 0, 11, 9, 7, 27
"/Users/davidgao/Desktop/Workspace/anon-lang/crates/anon_parser/src/primitive.rs", "Rust", 0, 7, 3, 2, 12
"/Users/davidgao/Desktop/Workspace/anon-lang/crates/anon_parser/src/type_checker.rs", "Rust", 0, 0, 0, 1, 1
"/Users/davidgao/Desktop/Workspace/anon-lang/crates/anon_parser/src/typed_ast.rs", "Rust", 0, 34, 9, 9, 52
"/Users/davidgao/Desktop/Workspace/anon-lang/crates/anon_parser/src/types.rs", "Rust", 0, 25, 7, 9, 41
"/Users/davidgao/Desktop/Workspace/anon-lang/crates/anon_parser/src/untyped_ast.rs", "Rust", 0, 95, 13, 11, 119
"Total", "-", 7, 360, 85, 81, 533
